gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00000020	transcript3	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000040	transcript4	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000080	transcript8	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000100	transcript10	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000110	transcript12	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000130	transcript14	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000150	transcript16	0.00	0.00	0.00	0.28	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000190	transcript19	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000200	transcript21	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000220	transcript22	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000240	transcript24	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000250	transcript26	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000270	transcript29	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000340	transcript38	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000370	transcript42	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000380	transcript44	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000510	transcript59	25.00	31.00	29.00	2.00	4.00	3.00
HORVU.RGT_PLANET.PROJ.1HG00000540	transcript62	0.00	0.00	0.00	0.00	0.00	0.00
