transcript_id	gene_id	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
transcript3	HORVU.RGT_PLANET.PROJ.1HG00000020	0.00	0.00	0.00	0.00	0.00	0.00
transcript4	HORVU.RGT_PLANET.PROJ.1HG00000040	0.00	0.00	0.00	0.00	0.00	0.00
transcript8	HORVU.RGT_PLANET.PROJ.1HG00000080	0.00	0.00	0.00	0.00	0.00	0.00
transcript10	HORVU.RGT_PLANET.PROJ.1HG00000100	0.00	0.00	0.00	0.00	0.00	0.00
transcript12	HORVU.RGT_PLANET.PROJ.1HG00000110	0.00	0.00	0.00	0.00	0.00	0.00
transcript14	HORVU.RGT_PLANET.PROJ.1HG00000130	0.00	0.00	0.00	0.00	0.00	0.00
transcript16	HORVU.RGT_PLANET.PROJ.1HG00000150	0.00	0.00	0.00	0.01	0.00	0.00
transcript19	HORVU.RGT_PLANET.PROJ.1HG00000190	0.00	0.00	0.00	0.00	0.00	0.00
transcript21	HORVU.RGT_PLANET.PROJ.1HG00000200	0.00	0.00	0.00	0.00	0.00	0.00
transcript22	HORVU.RGT_PLANET.PROJ.1HG00000220	0.00	0.00	0.00	0.00	0.00	0.00
transcript24	HORVU.RGT_PLANET.PROJ.1HG00000240	0.00	0.00	0.00	0.00	0.00	0.00
transcript26	HORVU.RGT_PLANET.PROJ.1HG00000250	0.00	0.00	0.00	0.00	0.00	0.00
transcript29	HORVU.RGT_PLANET.PROJ.1HG00000270	0.00	0.00	0.00	0.00	0.00	0.00
transcript38	HORVU.RGT_PLANET.PROJ.1HG00000340	0.00	0.00	0.00	0.00	0.00	0.00
transcript42	HORVU.RGT_PLANET.PROJ.1HG00000370	0.00	0.00	0.00	0.00	0.00	0.00
transcript44	HORVU.RGT_PLANET.PROJ.1HG00000380	0.00	0.00	0.00	0.00	0.00	0.00
transcript59	HORVU.RGT_PLANET.PROJ.1HG00000510	1.67	2.37	1.95	0.13	0.26	0.19
transcript62	HORVU.RGT_PLANET.PROJ.1HG00000540	0.00	0.00	0.00	0.00	0.00	0.00
transcript71	HORVU.RGT_PLANET.PROJ.1HG00000660	0.00	0.00	0.00	0.00	0.00	0.00
transcript74	HORVU.RGT_PLANET.PROJ.1HG00000720	0.00	0.00	0.00	0.00	0.00	0.00
transcript76	HORVU.RGT_PLANET.PROJ.1HG00000740	0.00	0.00	0.00	0.00	0.00	0.00
transcript77	HORVU.RGT_PLANET.PROJ.1HG00000750	0.00	0.00	0.00	0.00	0.00	0.00
transcript78	HORVU.RGT_PLANET.PROJ.1HG00000780	0.00	0.00	0.00	0.00	0.00	0.00
transcript79	HORVU.RGT_PLANET.PROJ.1HG00000800	0.00	0.00	0.00	0.00	0.00	0.00
transcript83	HORVU.RGT_PLANET.PROJ.1HG00000850	0.00	0.00	0.00	0.00	0.00	0.00
transcript87	HORVU.RGT_PLANET.PROJ.1HG00000890	0.00	0.00	0.00	0.00	0.00	0.00
transcript90	HORVU.RGT_PLANET.PROJ.1HG00000900	0.00	0.00	0.00	0.00	0.00	0.00
transcript93	HORVU.RGT_PLANET.PROJ.1HG00000940	76.06	95.81	124.29	39.78	42.27	48.03
transcript96	HORVU.RGT_PLANET.PROJ.1HG00000960	0.00	0.00	0.00	0.00	0.00	0.00
transcript98	HORVU.RGT_PLANET.PROJ.1HG00000990	0.00	0.00	0.00	0.00	0.00	0.00
transcript99	HORVU.RGT_PLANET.PROJ.1HG00001040	0.00	0.00	0.00	0.00	0.00	0.00
transcript100	HORVU.RGT_PLANET.PROJ.1HG00001050	0.00	0.00	0.00	0.00	0.00	0.00
transcript101	HORVU.RGT_PLANET.PROJ.1HG00001070	0.00	0.00	0.00	0.00	0.00	0.00
transcript103	HORVU.RGT_PLANET.PROJ.1HG00001100	0.03	0.00	0.06	0.01	0.01	0.00
transcript104	HORVU.RGT_PLANET.PROJ.1HG00001110	0.00	0.04	0.00	0.02	0.00	0.00
transcript105	HORVU.RGT_PLANET.PROJ.1HG00001130	0.00	0.00	0.00	0.00	0.02	0.02
transcript106	HORVU.RGT_PLANET.PROJ.1HG00001130	0.21	0.02	0.08	0.03	0.00	0.03
transcript109	HORVU.RGT_PLANET.PROJ.1HG00001180	0.00	0.00	0.00	0.00	0.00	0.00
transcript117	HORVU.RGT_PLANET.PROJ.1HG00001260	0.00	0.00	0.00	0.00	0.00	0.00
transcript118	HORVU.RGT_PLANET.PROJ.1HG00001280	0.00	0.00	0.00	0.00	0.00	0.00
transcript120	HORVU.RGT_PLANET.PROJ.1HG00001360	0.00	0.00	0.00	0.00	0.00	0.00
transcript123	HORVU.RGT_PLANET.PROJ.1HG00001390	0.07	0.98	0.00	1.41	0.18	0.68
transcript124	HORVU.RGT_PLANET.PROJ.1HG00001400	0.04	0.00	0.00	0.58	0.36	0.36
transcript125	HORVU.RGT_PLANET.PROJ.1HG00001410	0.00	0.00	0.00	0.53	0.50	0.75
