Reference guided,,,De novo
,,,
5x disease resistance,4x novel,,10x disease resistance
HORVU.RGT_PLANET.PROJ.1HG00039150.1,transcript43238- StringTie2,,HORVU.RGT_PLANET.PROJ.1HG00039150.1
HORVU.RGT_PLANET.PROJ.2HG00193660.1,transcript11142- IsoQuant,,HORVU.RGT_PLANET.PROJ.2HG00088830.1
HORVU.RGT_PLANET.PROJ.7HG00569670.1,transcript51205- bambu,,HORVU.RGT_PLANET.PROJ.2HG00089670.1
HORVU.RGT_PLANET.PROJ.7HG00644530.1,transcript26911- FLAIR,,HORVU.RGT_PLANET.PROJ.2HG00162950.1
HORVU.RGT_PLANET.PROJ.7HG00660930.1,,,HORVU.RGT_PLANET.PROJ.2HG00193660.1
,,,HORVU.RGT_PLANET.PROJ.4HG00303290.1
,,,HORVU.RGT_PLANET.PROJ.5HG00420950.1
,,,HORVU.RGT_PLANET.PROJ.7HG00569670.1
,,,HORVU.RGT_PLANET.PROJ.7HG00644530.1
,,,HORVU.RGT_PLANET.PROJ.7HG00660930.1
