transcript_id	gene_id	Control_1A	Control_2A	Control_3A	NB29-A_1	NB29-A_2	NB29-A_3
transcript3	HORVU.RGT_PLANET.PROJ.1HG00000020	0.00	0.00	0.00	0.00	0.00	0.00
transcript4	HORVU.RGT_PLANET.PROJ.1HG00000040	0.00	0.00	0.00	0.00	0.00	0.00
transcript8	HORVU.RGT_PLANET.PROJ.1HG00000080	0.00	0.00	0.00	0.00	0.00	0.00
transcript10	HORVU.RGT_PLANET.PROJ.1HG00000100	0.00	0.00	0.00	0.00	0.00	0.00
transcript12	HORVU.RGT_PLANET.PROJ.1HG00000110	0.00	0.00	0.00	0.00	0.00	0.00
transcript14	HORVU.RGT_PLANET.PROJ.1HG00000130	0.00	0.00	0.00	0.00	0.00	0.00
transcript16	HORVU.RGT_PLANET.PROJ.1HG00000150	0.00	0.00	0.00	0.31	0.00	0.00
transcript19	HORVU.RGT_PLANET.PROJ.1HG00000190	0.00	0.00	0.00	0.00	0.00	0.00
transcript21	HORVU.RGT_PLANET.PROJ.1HG00000200	0.00	0.00	0.00	0.00	0.00	0.00
transcript22	HORVU.RGT_PLANET.PROJ.1HG00000220	0.00	0.00	0.00	0.00	0.00	0.00
transcript24	HORVU.RGT_PLANET.PROJ.1HG00000240	0.00	0.00	0.00	0.00	0.00	0.00
transcript26	HORVU.RGT_PLANET.PROJ.1HG00000250	0.00	0.00	0.00	0.00	0.00	0.00
transcript29	HORVU.RGT_PLANET.PROJ.1HG00000270	0.00	0.00	0.00	0.00	0.00	0.00
transcript38	HORVU.RGT_PLANET.PROJ.1HG00000340	0.00	0.00	0.00	0.00	0.00	0.00
transcript42	HORVU.RGT_PLANET.PROJ.1HG00000370	0.00	0.00	0.00	0.00	0.00	0.00
transcript44	HORVU.RGT_PLANET.PROJ.1HG00000380	0.00	0.00	0.00	0.00	0.00	0.00
transcript46	HORVU.RGT_PLANET.PROJ.1HG00000400	251.64	182.69	248.48	387.76	352.87	372.00
transcript47	HORVU.RGT_PLANET.PROJ.1HG00000410	3244.00	2975.00	3759.00	3462.00	3085.00	3953.00
transcript49	HORVU.RGT_PLANET.PROJ.1HG00000420	1608.00	1086.00	1756.00	25029.00	27940.00	23162.00
transcript50	HORVU.RGT_PLANET.PROJ.1HG00000430	2084.00	1544.00	2185.00	2092.00	2032.00	2224.00
transcript51	HORVU.RGT_PLANET.PROJ.1HG00000440	3230.00	1781.00	2826.00	792.00	685.00	559.00
transcript52	HORVU.RGT_PLANET.PROJ.1HG00000450	400.00	477.00	574.00	1876.00	1563.00	1381.00
transcript53	HORVU.RGT_PLANET.PROJ.1HG00000460	336.54	237.88	360.54	388.19	385.63	400.43
transcript54	HORVU.RGT_PLANET.PROJ.1HG00000460	2161.46	1341.12	1889.46	3237.81	2834.37	3190.57
transcript56	HORVU.RGT_PLANET.PROJ.1HG00000490	362.00	318.00	315.00	277.00	229.00	295.00
transcript57	HORVU.RGT_PLANET.PROJ.1HG00000500	3001.00	2552.00	2821.00	2768.00	2774.00	3095.00
transcript58	HORVU.RGT_PLANET.PROJ.1HG00000510	25.00	31.00	29.00	2.00	4.00	3.00
transcript59	HORVU.RGT_PLANET.PROJ.1HG00000520	2743.00	1513.00	903.00	104.00	124.00	66.00
transcript61	HORVU.RGT_PLANET.PROJ.1HG00000540	0.00	0.00	0.00	0.00	0.00	0.00
transcript66	HORVU.RGT_PLANET.PROJ.1HG00000630	19.00	3.00	22.00	444.69	426.00	378.00
transcript68	HORVU.RGT_PLANET.PROJ.1HG00000640	287.00	496.00	569.00	153.00	187.00	210.00
transcript69	HORVU.RGT_PLANET.PROJ.1HG00000660	0.00	0.00	0.00	0.00	0.00	0.00
transcript72	HORVU.RGT_PLANET.PROJ.1HG00000720	0.00	0.00	0.00	0.00	0.00	0.00
transcript74	HORVU.RGT_PLANET.PROJ.1HG00000740	0.00	0.00	0.00	0.00	0.00	0.00
transcript75	HORVU.RGT_PLANET.PROJ.1HG00000750	0.00	0.00	0.00	0.00	0.00	0.00
transcript76	HORVU.RGT_PLANET.PROJ.1HG00000780	0.00	0.00	0.00	0.00	0.00	0.00
transcript77	HORVU.RGT_PLANET.PROJ.1HG00000800	0.00	0.00	0.00	0.00	0.00	0.00
transcript81	HORVU.RGT_PLANET.PROJ.1HG00000850	0.00	0.00	0.00	0.00	0.00	0.00
transcript85	HORVU.RGT_PLANET.PROJ.1HG00000890	0.00	0.00	0.00	0.00	0.00	0.00
transcript88	HORVU.RGT_PLANET.PROJ.1HG00000900	0.00	0.00	0.00	0.00	0.00	0.00
transcript91	HORVU.RGT_PLANET.PROJ.1HG00000940	22.00	25.00	36.00	11.00	10.00	12.00
transcript94	HORVU.RGT_PLANET.PROJ.1HG00000950	0.00	0.00	0.00	0.00	0.00	0.00
transcript95	HORVU.RGT_PLANET.PROJ.1HG00000960	0.00	0.00	0.00	0.00	0.00	0.00
